Year,Date,Plot,Treatment,Distance,Spider Count
2022,7/27/2022,A6,SS,5,3
2022,7/27/2022,A6,SS,10,4
2022,7/27/2022,A6,SS,15,2
2022,7/27/2022,B1,SS,5,0
2022,7/27/2022,B1,SS,10,1
2022,7/27/2022,B1,SS,15,3
2022,7/27/2022,B2,SS,5,2
2022,7/27/2022,B2,SS,10,1
2022,7/27/2022,B2,SS,15,3
2022,7/27/2022,B3,SS,5,1
2022,7/27/2022,B3,SS,10,2
2022,7/27/2022,B3,SS,15,0
2022,7/27/2022,B5,SS,5,4
2022,7/27/2022,B5,SS,10,3
2022,7/27/2022,B5,SS,15,2
2022,7/27/2022,C3,SS,5,2
2022,7/27/2022,C3,SS,10,3
2022,7/27/2022,C3,SS,15,2
2022,7/27/2022,E1,SS,5,16
2022,7/27/2022,E1,SS,10,5
2022,7/27/2022,E1,SS,15,6
2022,7/27/2022,E2,SS,5,7
2022,7/27/2022,E2,SS,10,10
2022,7/27/2022,E2,SS,15,6
2022,8/4/2022,A6,SS,5,3
2022,8/4/2022,A6,SS,10,3
2022,8/4/2022,A6,SS,15,5
2022,8/4/2022,B1,SS,5,4
2022,8/4/2022,B1,SS,10,2
2022,8/4/2022,B1,SS,15,5
2022,8/4/2022,B2,SS,5,3
2022,8/4/2022,B2,SS,10,1
2022,8/4/2022,B2,SS,15,2
2022,8/4/2022,B3,SS,5,4
2022,8/4/2022,B3,SS,10,3
2022,8/4/2022,B3,SS,15,3
2022,8/4/2022,B5,SS,5,2
2022,8/4/2022,B5,SS,10,1
2022,8/4/2022,B5,SS,15,2
2022,8/4/2022,C3,SS,5,4
2022,8/4/2022,C3,SS,10,6
2022,8/4/2022,C3,SS,15,4
2022,8/4/2022,E1,SS,5,21
2022,8/4/2022,E1,SS,10,7
2022,8/4/2022,E1,SS,15,2
2022,8/4/2022,E2,SS,5,6
2022,8/4/2022,E2,SS,10,6
2022,8/4/2022,E2,SS,15,5
2022,8/26/2022,A6,SS,5,4
2022,8/26/2022,A6,SS,10,2
2022,8/26/2022,A6,SS,15,2
2022,8/26/2022,B1,SS,5,7
2022,8/26/2022,B1,SS,10,6
2022,8/26/2022,B1,SS,15,2
2022,8/26/2022,B2,SS,5,4
2022,8/26/2022,B2,SS,10,0
2022,8/26/2022,B2,SS,15,1
2022,8/26/2022,B3,SS,5,6
2022,8/26/2022,B3,SS,10,6
2022,8/26/2022,B3,SS,15,3
2022,8/26/2022,B5,SS,5,14
2022,8/26/2022,B5,SS,10,4
2022,8/26/2022,B5,SS,15,4
2022,8/26/2022,C3,SS,5,13
2022,8/26/2022,C3,SS,10,5
2022,8/26/2022,C3,SS,15,2
2022,8/26/2022,E1,SS,5,3
2022,8/26/2022,E1,SS,10,1
2022,8/26/2022,E1,SS,15,2
2022,8/26/2022,E2,SS,5,1
2022,8/26/2022,E2,SS,10,3
2022,8/26/2022,E2,SS,15,0
2022,8/31/2022,A6,SS,5,2
2022,8/31/2022,A6,SS,10,2
2022,8/31/2022,A6,SS,15,1
2022,8/31/2022,B1,SS,5,1
2022,8/31/2022,B1,SS,10,3
2022,8/31/2022,B1,SS,15,4
2022,8/31/2022,B2,SS,5,1
2022,8/31/2022,B2,SS,10,0
2022,8/31/2022,B2,SS,15,3
2022,8/31/2022,B3,SS,5,3
2022,8/31/2022,B3,SS,10,3
2022,8/31/2022,B3,SS,15,0
2022,8/31/2022,B5,SS,5,1
2022,8/31/2022,B5,SS,10,1
2022,8/31/2022,B5,SS,15,0
2022,8/31/2022,C3,SS,5,6
2022,8/31/2022,C3,SS,10,0
2022,8/31/2022,C3,SS,15,1
2022,8/31/2022,E1,SS,5,3
2022,8/31/2022,E1,SS,10,1
2022,8/31/2022,E1,SS,15,0
2022,8/31/2022,E2,SS,5,3
2022,8/31/2022,E2,SS,10,0
2022,8/31/2022,E2,SS,15,0
2022,9/12/2022,A6,SS,5,0
2022,9/12/2022,A6,SS,10,6
2022,9/12/2022,A6,SS,15,0
2022,9/12/2022,B1,SS,5,4
2022,9/12/2022,B1,SS,10,2
2022,9/12/2022,B1,SS,15,0
2022,9/12/2022,B2,SS,5,2
2022,9/12/2022,B2,SS,10,1
2022,9/12/2022,B2,SS,15,0
2022,9/12/2022,B3,SS,5,3
2022,9/12/2022,B3,SS,10,3
2022,9/12/2022,B3,SS,15,1
2022,9/12/2022,B5,SS,5,2
2022,9/12/2022,B5,SS,10,1
2022,9/12/2022,B5,SS,15,1
2022,9/12/2022,C3,SS,5,3
2022,9/12/2022,C3,SS,10,2
2022,9/12/2022,C3,SS,15,2
2022,9/12/2022,E1,SS,5,3
2022,9/12/2022,E1,SS,10,3
2022,9/12/2022,E1,SS,15,0
2022,9/12/2022,E2,SS,5,1
2022,9/12/2022,E2,SS,10,3
2022,9/12/2022,E2,SS,15,4
2022,9/30/2022,A6,SS,5,6
2022,9/30/2022,A6,SS,10,2
2022,9/30/2022,A6,SS,15,1
2022,9/30/2022,B1,SS,5,2
2022,9/30/2022,B1,SS,10,1
2022,9/30/2022,B1,SS,15,2
2022,9/30/2022,B2,SS,5,8
2022,9/30/2022,B2,SS,10,1
